"Month","Population"
"2012-01",33926
"2012-02",35734
"2012-03",39963
"2012-04",37151
"2012-05",37821
"2012-06",39093
"2012-07",40289
"2012-08",41709
"2012-09",42824
"2012-10",41597
"2012-11",38257
"2012-12",35975
"2013-01",34373
"2013-02",34880
"2013-03",37644
"2013-04",38898
"2013-05",39622
"2013-06",41320
"2013-07",43463
"2013-08",46050
"2013-09",48480
"2013-10",47234
"2013-11",42996
"2013-12",40707
"2014-01",39687
"2014-02",40903
"2014-03",45608
"2014-04",47249
"2014-05",49177
"2014-06",51168
"2014-07",52629
"2014-08",55184
"2014-09",55955
"2014-10",54659
"2014-11",50648
"2014-12",48111
"2015-01",47038
"2015-02",48217
"2015-03",51483
"2015-04",52406
"2015-05",53097
"2015-06",55639
"2015-07",58079
"2015-08",62196
"2015-09",63782
"2015-10",61594
"2015-11",57230
"2015-12",53592
"2016-01",52410
"2016-02",52472
"2016-03",56577
"2016-04",59043
"2016-05",60915
"2016-06",63688
"2016-07",65127
"2016-08",67121
"2016-09",67146
"2016-10",64522
"2016-11",58534
"2016-12",53461
"2017-01",50883
"2017-02",48965
"2017-03",51958
"2017-04",53073
"2017-05",54392
"2017-06",58466
"2017-07",61893
"2017-08",65167
"2017-09",65931
"2017-10",63158
"2017-11",56737
"2017-12",52440
"2018-01",50876
"2018-02",50504
"2018-03",53432
"2018-04",54976
"2018-05",55830
"2018-06",59523
"2018-07",63909
"2018-08",67203
"2018-09",68571
"2018-10",65700
"2018-11",58590
"2018-12",54512
"2019-01",52536
"2019-02",52109
"2019-03",55386
"2019-04",56467
"2019-05",57487
"2019-06",61424
"2019-07",65249
"2019-08",68832
"2019-09",69880
"2019-10",66224
"2019-11",59360
"2019-12",54518
"2020-01",52344
"2020-02",51734
"2020-03",55021
"2020-04",56438
"2020-05",57765
"2020-06",62510
"2020-07",66708
"2020-08",71292
"2020-09",72938
"2020-10",69466
"2020-11",62554
"2020-12",56909
"2021-01",54054
"2021-02",52653
"2021-03",54748
"2021-04",55027
"2021-05",55756
"2021-06",60246
"2021-07",65195
"2021-08",71238
"2021-09",72665
"2021-10",69474
"2021-11",62173
"2021-12",55426
"2022-01",53580
"2022-02",52806
"2022-03",56456
"2022-04",58656
"2022-05",60893
"2022-06",65851
"2022-07",71266
"2022-08",77486
"2022-09",79050
"2022-10",76441
"2022-11",69171
"2022-12",63156
"2023-01",61320
"2023-02",60647
"2023-03",62787
"2023-04",64889
"2023-05",66952
"2023-06",72431
"2023-07",80170
"2023-08",85679
"2023-09",87008
"2023-10",84127
"2023-11",75205
"2023-12",68514
